case_id,condition,final_context_tokens,context_items,tool_output_tokens
stress_v2_fixture_001,waggle_production_context,278,1,1604
stress_v2_fixture_001,external_jsonl:mem0_smoke,21,1,0
stress_v2_fixture_001,external_jsonl:graphiti_smoke,21,1,0
