condition,rows,qa_correct,avg_context_tokens,avg_tool_calls
flat_transcript_vector,5,1,1949.6,0.0
oracle_answer_turn_context,5,3,906.6,0.0
waggle_production_context,5,3,3703.0,2.0
waggle_temporal_slot_context,5,3,404.2,1.0
