condition,category,rows,qa_correct
flat_transcript_vector,knowledge-update,5,2
flat_transcript_vector,multi-session,5,1
flat_transcript_vector,single-session-assistant,5,1
flat_transcript_vector,single-session-user,5,2
flat_transcript_vector,temporal-reasoning,5,1
oracle_answer_turn_context,knowledge-update,5,4
oracle_answer_turn_context,multi-session,5,5
oracle_answer_turn_context,single-session-assistant,5,3
oracle_answer_turn_context,single-session-user,5,4
oracle_answer_turn_context,temporal-reasoning,5,3
waggle_production_context,knowledge-update,5,2
waggle_production_context,multi-session,5,1
waggle_production_context,single-session-assistant,5,2
waggle_production_context,single-session-user,5,5
waggle_production_context,temporal-reasoning,5,2
waggle_temporal_slot_context,knowledge-update,5,3
waggle_temporal_slot_context,multi-session,5,1
waggle_temporal_slot_context,single-session-assistant,5,3
waggle_temporal_slot_context,single-session-user,5,4
waggle_temporal_slot_context,temporal-reasoning,5,1
